,artists,track,album,time (s),popularity,year,id
6065,['Faith No More'],She Loves Me Not - 2016 Remaster,Album of the Year (2016 Remaster; Deluxe Edition),209.533,29,2016,5bTFekuZTjY3bmscs7qraY
6066,['Rae Sremmurd'],Swang,SremmLife 2 (Deluxe),208.12,80,2016,6mapJIPnQ23RTAevUoE0DL
6067,['The Cars'],Bye Bye Love - 2016 Remaster,The Elektra Years 1978 - 1987,252.786,19,2016,25DfywJtmyCBExnWQXje42
6068,['Daniel Caesar'],Japanese Denim,Get You - Single,270.846,80,2016,1boXOL0ua7N2iCOUVI1p9F
6069,['LADYBABY'],Renge Chance!,ONE YEAR BEST ~2015-2016~,267.0,30,2016,52OVS4atVZ4l45pUXUJ39Z
6070,['Post Malone'],Feeling Whitney,Stoney (Deluxe),257.266,80,2016,35r28RDot7nPE7y9K9H7l0
6071,['Pink Floyd'],Paintbox - 2016 Remastered Version,"The Early Years, 1967-1972, Cre/ation",226.973,24,2016,5ckyvPaJPqcNLnKbZ42HN5
6072,['Kanye West'],Waves,The Life Of Pablo,181.573,79,2016,3nAq2hCr1oWsIU54tS98pL
6073,['Twisted Sister'],"I'll Never Grow Up, Now! - 2016 Remaster",The Best of the Atlantic Years,248.08,27,2016,37P2RVDtJD4XCqmKvBaf9Z
6074,['Twenty One Pilots'],Heathens,Heathens,195.92,85,2016,6i0V12jOa3mr6uu4WYhUBr
6075,"['Emerson, Lake & Palmer']","Tarkus - i. Eruption, ii. Stones of Years' iii. Iconoclast, iv. Mass, v. Manticore, vi. Battlefield (including Epitaph), vii. Aquatarkus; Live 1974; 2016 - Remaster",Welcome Back My Friends to the Show That Never Ends - Ladies and Gentlemen (Live),1644.773,27,2016,3hE8HEGRvRBrCKawtCoXNo
6076,['Post Malone'],White Iverson,Stoney (Deluxe),256.533,80,2016,6eT7xZZlB2mwyzJ2sUKG6w
6077,['The Cars'],Magic - 2016 Remaster,The Elektra Years 1978 - 1987,237.213,20,2016,3CKG5I7MnDL45BvK7dQMr4
6078,['James Arthur'],Train Wreck,Back from the Edge,208.826,85,2016,55Am8neGJkdj2ADaM3aw5H
6079,['Iron Maiden'],"Wasted Years - Live at HSBC Arena, Rio De Janeiro, Brazil - 17th March 2016",The Book of Souls: The Live Chapter,338.546,17,2016,1O1Uoo4koaET5gcvia46HU
6080,['SALES'],Pope Is a Rockstar,SALES LP,187.333,84,2016,0So2sgVa8aJiARPl2P29u2
6081,['Pink Floyd'],Childhood's End - 2016 Remix,"The Early Years, 1967-1972, Cre/ation",273.346,23,2016,4ko0fuvgg0JcnEeT3LemUG
6082,['Childish Gambino'],Me and Your Mama,"""Awaken, My Love!""",379.226,78,2016,31tf1qEai5o5f4r66Kd0pU
6083,['The Cars'],Just What I Needed - 2016 Remaster,The Elektra Years 1978 - 1987,223.8,21,2016,52EYuOnNj7ZYoqGvKzy2Sq
6084,['Bruno Mars'],24K Magic,24K Magic,225.983,83,2016,6b8Be6ljOzmkOmFslEb23P
6085,['Bonnie Raitt'],Runaway - 2008 Remaster,Playlist: The Best of the Warner Bros. Years (2016 Remaster),237.4,26,2016,59i8UzPSslEND0P0mmoJgq
6086,"['Kane Brown', 'Lauren Alaina']",What Ifs (feat. Lauren Alaina),Kane Brown,188.253,76,2016,7zVCrzzEJU7u24sbJPXA5W
6087,['Pink Floyd'],Stay - 2016 Remix,"The Early Years, 1967-1972, Cre/ation",248.266,22,2016,3S6YtqDA1xpJaAo52tCiJi
6088,['Steve Lacy'],Some,Some,118.393,78,2016,4riDfclV7kPDT9D58FpmHd
6089,['The Cars'],You're All I've Got Tonight - 2016 Remaster,The Elektra Years 1978 - 1987,253.466,18,2016,7sLKSmN3Z11sa2Z4BBhT7f
6090,['Dwayne Johnson'],You're Welcome,Moana (Original Motion Picture Soundtrack/Deluxe Edition),163.893,78,2016,6U4VqEHy4n5VeiH4pQPL24
6091,['The Cars'],Since You're Gone - 2016 Remaster,The Elektra Years 1978 - 1987,211.32,19,2016,57nr73EkAwjePxxIduQIcj
6092,['Lukas Graham'],7 Years,Lukas Graham,237.3,83,2016,5kqIPrATaCc2LqxVWzQGbk
6093,['Bonnie Raitt'],Angel from Montgomery - 2008 Remaster,Playlist: The Best of the Warner Bros. Years (2016 Remaster),239.24,25,2016,0Vr9LVtbwZQi0EvyhIdRfu
6094,['Drake'],Feel No Ways,Views,240.653,78,2016,3cjF2OFRmip8spwZYQRKxP
6095,['The Cars'],Shake It Up - 2016 Remaster,The Elektra Years 1978 - 1987,211.96,19,2016,3aPF4m2KqVPzE5QlqVyfQ1
6096,['Post Malone'],Go Flex,Stoney (Deluxe),179.613,80,2016,5yuShbu70mtHXY0yLzCQLQ
6097,['Faith No More'],Paths of Glory - 2016 Remaster,Album of the Year (2016 Remaster; Deluxe Edition),256.399,26,2016,38ij4s9GK1UZo0ydLXES1U
6098,"['Future', 'The Weeknd']",Low Life (feat. The Weeknd),EVOL,313.546,79,2016,7EiZI6JVHllARrX9PUvAdX
6099,['Stratovarius'],Years Go By - Remastered 2016,Destiny (Reissue 2016),314.249,14,2016,1ILE0PIo6qoRYo0DhdLggi
6100,"[""Auli'i Cravalho""]",How Far I'll Go,Moana (Original Motion Picture Soundtrack/Deluxe Edition),163.386,78,2016,6mb6lVLNrcUgLnEN8QnDJd
6101,['Faith No More'],Got That Feeling - 2016 Remaster,Album of the Year (2016 Remaster; Deluxe Edition),140.666,26,2016,0CQPY2fB0LrMDKapqLrrZo
6102,['Drake'],Hotline Bling,Views,267.066,82,2016,0wwPcA6wtMf6HUMpIRdeP7
6103,['Pink Floyd'],Matilda Mother (2010 Mix) [2016 Remastered Version],"The Early Years, 1967-1972, Cre/ation",239.413,23,2016,4F8rhaZsjJtlnS2tJVtmfc
6104,['Tory Lanez'],Say It,I Told You,237.786,79,2016,2Gyc6e2cLxA5hoX1NOvYnU
6105,['Frequencerz'],Die Hards Only (Q-BASE Anthem 2016) - Edit,10 Years of Hardstyle by Frequencerz,179.3,42,2016,7CJjDYKkQyZbsmYtwCFTBZ
6106,['Glass Animals'],The Other Side Of Paradise,How To Be A Human Being,320.654,79,2016,0rRjGruFonCGOt0S5zAJNQ
6107,['The Cars'],My Best Friend's Girl - 2016 Remaster,The Elektra Years 1978 - 1987,223.573,20,2016,0GI85i8IJcF7eyJiE9pmAi
6108,['Mitski'],I Bet on Losing Dogs,Puberty 2,170.24,79,2016,2Co0IjcLTSHMtodwD4gzfg
6109,['The Cars'],You Might Think - 2016 Remaster,The Elektra Years 1978 - 1987,184.706,20,2016,7iaP0PHEhEudPlCEOGhD1O
6110,['Justin Timberlake'],"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",TROLLS (Original Motion Picture Soundtrack),237.546,77,2016,1WkMMavIMc4JZ8cfMmxHkI
6111,['The Cars'],Let's Go - 2016 Remaster,The Elektra Years 1978 - 1987,213.093,19,2016,4SxdKhmNMs1fFYtM6u4gwu
6112,['The Weeknd'],Die For You,Starboy,260.253,81,2016,2LBqCSwhJGcFQeTHMVGwy3
6113,['Twisted Sister'],The Price - 2016 Remaster,The Best of the Atlantic Years,228.906,26,2016,39kXiFzGB6YauVIc8q5ojW
6114,"['Eric Bellinger', 'Aroc!']",G.O.A.T.,Eric B for President: Term 1,184.905,78,2016,0hUepWE4GoMwtKgU8vE617
6115,['Pink Floyd'],Free Four - 2016 Remix,"The Early Years, 1967-1972, Cre/ation",256.239,21,2016,61jOxQHqEGrI13wMBlC4Fd
6116,['Jon Pardi'],Head Over Boots,California Sunrise,202.346,76,2016,4ly1QBXEwYoDmje9rmEgC4
6117,['DJ Fleg'],New Horns,Battle Of The Year 2016 - The Soundtrack,163.853,40,2016,53MNAutL6lTaqKcKIUwx9j
6118,['Panic! At The Disco'],House of Memories,Death of a Bachelor,208.706,82,2016,2DgdHcjWmO3qd50RzuBLgZ
6119,['The Cars'],Drive - 2016 Remaster,The Elektra Years 1978 - 1987,234.32,21,2016,5uA5pF0SMZFJxiQwe0PI9D
6120,['J. Cole'],Neighbors,4 Your Eyez Only,216.52,77,2016,0utlOiJy2weVl9WTkcEWHy
6121,['Muzik 4 Machines'],Sell Like Mean Spirit - Nirvana Live Remix,The Pirate Album Volume 7 (New Year's Eve 2016),274.218,25,2016,2iJCOYjfKD8soun0Oxjm2Q
6122,['Cuco'],Lover Is a Day,wannabewithu,456.0,78,2016,76tGvMdmFKuiMew33ZNNA9
6123,['Faith No More'],Pristina - 2016 Remaster,Album of the Year (2016 Remaster; Deluxe Edition),233.52,25,2016,0zuRIyeLkmCnAEwFI3ONLv
6124,"['Rae Sremmurd', 'Gucci Mane']",Black Beatles,SremmLife 2 (Deluxe),291.893,81,2016,6fujklziTHa8uoM5OQSfIo
6125,['Pink Floyd'],"Careful with That Axe, Eugene (Single Version) [2016 Remastered Version]","The Early Years, 1967-1972, Cre/ation",344.213,21,2016,7KLXPJGZN0ieeO4jh0bAeO
6126,['Frank Ocean'],Self Control,Blonde,249.667,78,2016,5GUYJTQap5F3RDQiCOJhrS
6127,['Champion'],Next Year - Remastered 2016,Promises Kept (Remastered 2016),109.413,14,2016,4Sa05tMhXcvTJp9kwMW0rP
6128,['DNCE'],Cake By The Ocean,DNCE,219.146,84,2016,76hfruVvmfQbw0eYn1nmeC
6129,['Bonnie Raitt'],Love Has No Pride - 2008 Remaster,Playlist: The Best of the Warner Bros. Years (2016 Remaster),227.826,22,2016,7rgQSJNYeoC19rWqJZzOSX
6130,['Kanye West'],Famous,The Life Of Pablo,196.04,79,2016,19a3JfW8BQwqHWUMbcqSx8
6131,"['The Sleepers RecordZ', 'Nasty Den']",Nasty Lovers,Battle Of The Year 2016 - The Soundtrack,271.56,23,2016,4dO8yp8F3d9wdma5rQS7wk
6132,['Kevin Gates'],Really Really,Islah (Deluxe),232.093,75,2016,10I3CmmwT0BkOVhduDy53o
6133,['The Cars'],All Mixed Up - 2016 Remaster,The Elektra Years 1978 - 1987,254.573,16,2016,6Ez8qXXQTnv8v0xSpepujl
6134,['The Lumineers'],Sleep On The Floor,Cleopatra,211.851,74,2016,5MMZJtHOiH1RmQSSe3DJdg
6135,"['Akala', 'Josh Osho']",Carried Away - 2016 Mix,10 Years of Akala,225.065,33,2016,6Zq8gvh20SvtdAx8nU1uP1
6136,['Jon Pardi'],Heartache On The Dance Floor,California Sunrise,205.2,75,2016,0w3Q14i073jLoew1hgJkwD
6137,['LADYBABY'],C'est si bon Kibun,ONE YEAR BEST ~2015-2016~,280.946,28,2016,1o0KRodlb9q4ImI7Err5Ie
6138,['Frank Ocean'],Godspeed,Blonde,177.922,79,2016,34xTFwjPQ1dC6uJmleno7x
6139,['The Cars'],It's All I Can Do - 2016 Remaster,The Elektra Years 1978 - 1987,225.893,16,2016,4tggVN7VXweeq0uNoIuHDe
6140,"['Bad Bunny', 'Ozuna', 'Farruko', 'Arcangel', 'Ñengo Flow', 'DJ Luian', 'Mambo Kingz']",Diles,Diles,286.04,87,2016,6C1RD7YQVvt3YQj0CmuTeu
6141,['Faith No More'],Home Sick Home - 2016 Remaster,Album of the Year (2016 Remaster; Deluxe Edition),119.213,24,2016,7zXwJ8MUUaCQe2rOUxP36w
6142,"['PARTYNEXTDOOR', 'Drake']",Come and See Me (feat. Drake),PARTYNEXTDOOR 3 (P3),235.477,77,2016,1wZqJM5FGDEl3FjHDxDyQd
6143,"['John McLaughlin', 'The 4th Dimension']",El Hombre Que Sabià - Live - Montreux Jazz Festival 2016,John McLaughlin: The Montreux Years (Live),445.96,23,2016,5R1crZtSJiJBAEaWLAPXXV
6144,['Jon Pardi'],Dirt On My Boots,California Sunrise,201.893,75,2016,7f08qp3HROTkfrtNpiYGGo
6145,['T-Swizzle'],Wildest Dreams,Party Mix 2015 - 2016 The Hits: Happy New Year,219.957,25,2016,33bX8RFKkGnLRo5Erw8lON
6146,"['The Weeknd', 'Daft Punk']",I Feel It Coming,Starboy,269.186,83,2016,3dhjNA0jGA8vHBQ1VdD6vV
6147,['Otmar Eros'],"Year 2016:, Pt. 3",Works: 1995,90.644,14,2016,3S46mecgkRwH4nOuJeBtWj
6148,['Rex Orange County'],Corduroy Dreams,Bcos U Will Never B Free,206.974,78,2016,02tvc9CFnTyHuSRlGeNv9w
6149,['Akala'],"Comedy, Tragedy, History - 2016 Mix",10 Years of Akala,209.108,30,2016,6sYwjCNApB0liajsR0An9s
6150,['Rachel Platten'],Fight Song,Wildfire,204.013,82,2016,37f4ITSlgPX81ad2EvmVQr
6151,['The Cars'],Dangerous Type - 2016 Remaster,The Elektra Years 1978 - 1987,271.6,15,2016,4zFvGwtKEWzPIlGvUdvAkH
6152,['Nebu Kiniza'],Gassed Up,Gassed Up,193.911,76,2016,6JjEVlMkfHWMeYavkEYzNO
6153,"['Coone', 'Da Tweekaz']",D.W.X. (10 Years Dirty Workz Mix),This Is Coone (2016 - 2017),321.967,40,2016,4q7NRYgOTVN0ZOPrbqEAk7
6154,['Jon Pardi'],Night Shift,California Sunrise,172.253,75,2016,0bPnT6i9H1p8Vd85GS6Z7I
6155,['The Cars'],Candy-O - 2016 Remaster,The Elektra Years 1978 - 1987,156.093,14,2016,6cvHuZKlAXWlPpsrKGIGXx
6156,"['Hailee Steinfeld', 'Grey', 'Zedd']",Starving,Starving,181.88,81,2016,4Ce37cRWvM1vIGGynKcs22
6157,['Bonnie Raitt'],Since I Fell for You - 2008 Remaster,Playlist: The Best of the Warner Bros. Years (2016 Remaster),186.2,19,2016,6prgN5TkiDU0CQSeg2jb9c
6158,"['21 Savage', 'Metro Boomin']",No Heart,Savage Mode,235.04,76,2016,4gmmRb6bZJffOOiww1JGTO
6159,"['PNAU', 'L D R U']",Chameleon - LDRU Remix,etcetc Yearbook: 2016,265.938,19,2016,6UMU8vyagomkwREcLwdF9n
6160,['The Lumineers'],Cleopatra,Cleopatra,201.413,74,2016,2ToW7zhGCrVrLU4fiKj9U1
6161,['Bonnie Raitt'],Too Long at the Fair - 2008 Remaster,Playlist: The Best of the Warner Bros. Years (2016 Remaster),178.733,19,2016,4OXyLyLXUXuupuxL0NUWpg
6162,['Kanye West'],No More Parties In LA,The Life Of Pablo,374.413,77,2016,0zLClc0emc6qUeV1p5nc99
6163,"['Michalis Koumbios', 'Andreas Karantinis']",Nymos,Michalis Koumbios Songs and Instrumentals: 30 Years Recordings (1986 – 2016),186.693,29,2016,1q4iiK9xxBQV0HyX0Pgbxb
6164,"['Calvin Harris', 'Rihanna']",This Is What You Came For (feat. Rihanna),This Is What You Came For (feat. Rihanna),222.16,84,2016,0azC730Exh71aQlOt9Zj3y
6165,['The Cars'],Double Life - 2016 Remaster,The Elektra Years 1978 - 1987,254.306,14,2016,452nI0qyg6nrojdldAwlnN
6166,"['Garrett Nash', ""Olivia O'Brien""]","i hate u, i love u (feat. olivia o'brien)",us,251.033,82,2016,7vRriwrloYVaoAe3a9wJHe
6167,['Twisted Sister'],Burn in Hell - 2016 Remaster,The Best of the Atlantic Years,283.293,20,2016,4GRekpzsyPkndQJi7tlsts
6168,['The 1975'],Somebody Else,"I like it when you sleep, for you are so beautiful yet so unaware of it",347.52,76,2016,5hc71nKsUgtwQ3z52KEKQk
6169,['Faith No More'],Last Cup of Sorrow - Roli Mosimann Mix; Last Cup of Sorrow B-Side; 2016 Remaster,Album of the Year (2016 Remaster; Deluxe Edition),384.72,23,2016,7N1DlKOtAF6V0P84ysHnnu
6170,"['Mac Miller', 'Anderson .Paak']",Dang! (feat. Anderson .Paak),The Divine Feminine,305.35,78,2016,5iUQMwxUPdJBFeGkePtM66
6171,['Akala'],Absolute Power - 2016 Mix,10 Years of Akala,346.106,27,2016,2nOSjZSOEKtpF2H5r4wLOu
6172,['Jon Bellion'],All Time Low,The Human Condition,217.603,74,2016,0SuLAslEMFZAXf0SwY7syi
6173,"['Faith No More', 'Hardknox']",Ashes to Ashes - Hardknox Alternative Mix; 2016 Remaster,Album of the Year (2016 Remaster; Deluxe Edition),366.306,22,2016,1jreSJx7TwAjD1bVE1kkiA
6174,"['21 Savage', 'Metro Boomin', 'Future']",X (feat. Future),Savage Mode,258.88,76,2016,6fwdbPMwP1zVStm8FybmkO
6175,"['Faith No More', 'Billy Gould']",Pristina - Billy Gould Mix; Last Cup of Sorrow B-Side; 2016 Remaster,Album of the Year (2016 Remaster; Deluxe Edition),256.506,22,2016,2N7Q8cxilunKU3Ge6ogTCL
6176,['6LACK'],PRBLMS,FREE 6LACK,246.773,76,2016,4AtZRwSR8BOTTQg5ihSggt
6177,['David Bowie'],Golden Years - 2016 Remaster,Who Can I Be Now? [1974 - 1976],243.28,15,2016,4cWnkZRBaWVCQSWKAiv2ku
6178,"['Mac Miller', 'Bilal']",Congratulations (feat. Bilal),The Divine Feminine,256.426,77,2016,1OubIZ0ARYCUq5kceYUQiO
6179,['Mal Blum and the Blums'],New Year's Eve (2016),New Year's Eve (2016),387.01,11,2016,1zhaRtpzNLoAG7Tr8FlVzT
6180,['Kanye West'],Ultralight Beam,The Life Of Pablo,320.68,77,2016,1eQBEelI2NCy7AUTerX0KS
6181,['Elton John'],Cold As Christmas (In The Middle Of The Year) - Remastered 2016,Jewel Box,260.799,16,2016,3FjWLX898pqZq7zvPZFj15
6182,"['KYLE', 'Lil Yachty']",iSpy (feat. Lil Yachty),iSpy (feat. Lil Yachty),253.106,77,2016,2EEeOnHehOozLq4aS0n6SL
6183,['Dmitriy Rublev'],New Year 2016,"Skate Training, Vol. 6",423.881,13,2016,0IhIt5QjZwmkJZ5Ld2l6nR
6184,['Ariana Grande'],Into You,Dangerous Woman,244.453,73,2016,63y6xWR4gXz7bnUGOk8iI6
6185,['Faith No More'],Light up and Let Go - Ashes to Ashes B-Side; 2016 Remaster,Album of the Year (2016 Remaster; Deluxe Edition),138.693,21,2016,4xjTSci9xaqmpTagOYmJmB
6186,"['The Chainsmokers', 'Daya']",Don't Let Me Down,Don't Let Me Down,208.373,84,2016,1i1fxkWeaMmKEB4T7zqbzK
6187,['The Cars'],Touch and Go - 2016 Remaster,The Elektra Years 1978 - 1987,296.4,14,2016,6gbgxUnGM8vYelxPmLtR9H
6188,['Sia'],Unstoppable,This Is Acting (Deluxe Version),217.746,84,2016,1yvMUkIOTeUNtNWlWRgANS
6189,['The Cars'],Don't Cha Stop - 2016 Remaster,The Elektra Years 1978 - 1987,183.146,12,2016,1cLEfIZNM1RuyWgqmJ8r4m
6190,['J. Cole'],Deja Vu,4 Your Eyez Only,264.746,75,2016,6I6NX6tjGsxFAsIfGzY9lJ
6191,['Bonnie Raitt'],I Ain't Blue - 2008 Remaster,Playlist: The Best of the Warner Bros. Years (2016 Remaster),216.093,17,2016,17FxU4NcS8S84r9PGsCIBt
6192,"['Lil Wayne', 'Wiz Khalifa', 'Imagine Dragons', 'X Ambassadors', 'Logic', 'Ty Dolla $ign']","Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),243.49,81,2016,4dASQiO1Eoo3RJvt74FtXB
6193,['Bonnie Raitt'],I Feel the Same - 2008 Remaster,Playlist: The Best of the Warner Bros. Years (2016 Remaster),280.493,18,2016,5SEKc1hvKEAp45iSunWQxT
6194,"['Mike Posner', 'Seeb']",I Took A Pill In Ibiza - Seeb Remix,"At Night, Alone.",197.933,76,2016,1MtUq6Wp1eQ8PC6BbPCj8P
6195,"['Johann Strauss II', 'Mariss Jansons', 'Wiener Philharmoniker']","Schatz-Walzer, Op. 418",New Year's Concert 2016 / Neujahrskonzert 2016,486.293,25,2016,1iDmN4cjnnXcKPBV6pCwyC
6196,"['Drake', 'Rihanna']",Too Good,Views,263.373,78,2016,3BtuIIrQlkujKPuWF2B85z
6197,['Faith No More'],The Big Kahuna - Ashes to Ashes B-Side; 2016 Remaster,Album of the Year (2016 Remaster; Deluxe Edition),186.053,20,2016,00mMoFjWJs7IMCvGW5tjic
6198,"['Charlie Puth', 'Selena Gomez']",We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,217.706,73,2016,37FXw5QGFN7uwwsLy8uAc0
6199,['Bonnie Raitt'],You've Been in Love Too Long - 2008 Remaster,Playlist: The Best of the Warner Bros. Years (2016 Remaster),223.133,18,2016,0oVZwB3tecdb1KUxhGvunw
6200,['Cody Johnson'],With You I Am,Gotta Be Me,220.893,73,2016,34SQ0QfLSR316d8KL2zkuZ
6201,['The Cars'],Hello Again - 2016 Remaster,The Elektra Years 1978 - 1987,226.4,13,2016,2MnDoNGo8cPBHIvAYy76SK
6202,"['DJ Snake', 'Justin Bieber']",Let Me Love You,Encore,205.946,86,2016,0lYBSQXN6rCTvUZvg9S0lU
6203,['LADYBABY'],ULTRA LUCKY,ONE YEAR BEST ~2015-2016~,232.12,21,2016,0aPltFdJJCgtXoT8bolkM2
6204,['Russ'],"Psycho, Pt. 2","Psycho, Pt. 2",161.985,78,2016,26OhjtaTamFocE08t83ml6
6205,"['Bob Sinclar', 'DBN', 'Ravin']",I Feel for You - 2016 Rework,Buddha-Bar Twenty Years,243.786,16,2016,0dzyHiqgwc5baagDiBCQ9f
6206,['ZAYN'],PILLOWTALK,Mind Of Mine (Deluxe Edition),202.746,82,2016,0PDUDa38GO8lMxLCRc4lL1
6207,"['Faith No More', 'Dj Spinna']",She Loves Me Not - Spinna Main Mix; Japan B-Side; 2016 Remaster,Album of the Year (2016 Remaster; Deluxe Edition),277.533,20,2016,2Zese1LRCpP9iJggWo9dGo
6208,['The Struts'],Could Have Been Me,Everybody Wants,187.653,79,2016,3IyCL4Em1GOpNGDf451Hg1
6209,['Cimorelli'],Seven Years,Best of 2016,258.557,17,2016,5OJSL9B0ipUVKTsCuqh1sT
6210,['Hippie Sabotage'],Devil Eyes,Providence,131.271,83,2016,7MiZjKawmXTsTNePyTfPyL
6211,['Twisted Sister'],Leader of the Pack - 2016 Remaster,The Best of the Atlantic Years,229.84,17,2016,2i968SxGFlqbPEiF3lMQoI
6212,['Florida Georgia Line'],H.O.L.Y.,Dig Your Roots,194.186,74,2016,0BCy325UZyR9z0t0uxwn2N
6213,['Amin Cruiser'],7 Years,End of Summer 2016,226.301,18,2016,2RnK2iIoy7Q4wOsZ6F3KIp
6214,['Kevin Gates'],2 Phones,Islah (Deluxe),240.0,74,2016,0wdKiSBUT7aZkXUIdJWcwC
6215,['Fifty Vinc'],Sweet Dreams - BBoy Mix,Battle Of The Year 2016 - The Soundtrack,201.933,30,2016,2EIn6kf8KJEULlEwvlT4jP
6216,"['Rihanna', 'Drake']",Work,ANTI (Deluxe),219.32,81,2016,72TFWvU3wUYdUuxejTTIzt
6217,['The Cars'],You Are the Girl - 2016 Remaster,The Elektra Years 1978 - 1987,233.093,17,2016,58MHoN1JXeKI5xySnmlyX9
6218,"['Fifth Harmony', 'Ty Dolla $ign']",Work from Home (feat. Ty Dolla $ign),7/27 (Deluxe),214.48,81,2016,4tCtwWceOPWzenK2HAIJSb
6219,['Harp Player'],7 Years (Instrumental),Relaxing Hits: 2016,245.917,15,2016,2rbG4w9bNGfUAT7VLr1TxU
6220,"['Mac Miller', 'Ariana Grande']",My Favorite Part,The Divine Feminine,216.0,77,2016,66wkCYWlXzSTQAfnsPBptt
6221,['LADYBABY'],Beard-chan Robot,ONE YEAR BEST ~2015-2016~,229.186,20,2016,2HsXrJyxriv6GX7xQguJbp
6222,['Drake'],Controlla,Views,245.226,77,2016,3O8NlPh2LByMU9lSRSHedm
6223,['Chris Richter'],7 Years,2016 Classical Guitar Pop Hits: 40 of the Biggest Singles in Acoustic Instrumental Arrangements,225.483,12,2016,2dQ9KOht1c1Du8dBG4klgN
6224,['Jon Langston'],All Eyes On Us,All Eyes On Us,182.992,73,2016,2PtbdHcXDnUBwDUcwBFIMw
6225,['The Cars'],I'm Not the One - 2016 Remaster,The Elektra Years 1978 - 1987,249.88,12,2016,2yuW0Gl30gGgB3I5SQdjQ7
6226,['Frankie Cosmos'],Fool,Next Thing,124.021,77,2016,5Yx9t9RgATAtYoHN8gbRM0
6227,['The Cars'],Since I Held You - 2016 Remaster,The Elektra Years 1978 - 1987,196.813,11,2016,4oFAhuqDFzOEqdUG7qv6gf
6228,['Christian Leave'],Please Notice,Hope,116.666,77,2016,36seMHoyXmLUNxcwzwjdF7
6229,['Twinkle Twinkle Little Rock Star'],7 Years,Lullaby Hits of 2016,229.333,12,2016,43gA4JVkFHVyvbzHNxI5C9
6230,"['Chance the Rapper', 'Lil Wayne', '2 Chainz']",No Problem (feat. Lil Wayne & 2 Chainz),Coloring Book,304.606,74,2016,0v9Wz8o0BT8DU38R4ddjeH
6231,['Faith No More'],Collision - Live from Phoenix Festival; 2016 Remaster,Album of the Year (2016 Remaster; Deluxe Edition),209.24,19,2016,1M4ocMHP0tFlS9W0fLKhzA
6232,"['Ariana Grande', 'Nicki Minaj']",Side To Side,Dangerous Woman,226.16,72,2016,43bCmCI0nSgcT7QdMXY6LV
6233,['The Cars'],I'm in Touch with Your World - 2016 Remaster,The Elektra Years 1978 - 1987,210.426,11,2016,2LPZKNfryAR1OXjbPEOGkn
6234,['Chase Atlantic'],Slow Down,Paradise EP,212.093,81,2016,5lT5IZWW3JQErXELJpQgJ9
6235,['The Cars'],Night Spots - 2016 Remaster,The Elektra Years 1978 - 1987,193.893,10,2016,6eNTfqCnk5TGpXrLdgkYO1
6236,['Lil Uzi Vert'],You Was Right,Lil Uzi Vert vs. The World,163.944,73,2016,2ANLarE8yHVsLWW21nj79M
6237,['Twisted Sister'],You Can't Stop Rock 'N' Roll - 2016 Remaster,The Best of the Atlantic Years,282.853,17,2016,7zY7WU0LLKp1LLHFjdVjdM
6238,['Ariana Grande'],Dangerous Woman,Dangerous Woman,235.946,72,2016,6RUhbFEhrvGISaQ8u2j2JN
6239,['The Cars'],Heartbeat City - 2016 Remaster,The Elektra Years 1978 - 1987,270.773,13,2016,4NThtfDodIukvZtRyDYnAE
6240,['Panic! At The Disco'],Death of a Bachelor,Death of a Bachelor,203.506,74,2016,1BECwm5qkaBwlbfo4kpYx8
6241,['Bonnie Raitt'],Guilty - 2008 Remaster,Playlist: The Best of the Warner Bros. Years (2016 Remaster),178.106,15,2016,0TmB2tBb4aUcKXGJvSRI7M
6242,['Little Mix'],Shout Out to My Ex,Glory Days (Expanded Edition),246.24,81,2016,0ErK6K0kYr0Ow2RkPMhmMs
6243,['The Cars'],Why Can't I Have You - 2016 Remaster,The Elektra Years 1978 - 1987,243.826,11,2016,01BGlAxQmRuWLp2QoGdJv4
6244,['Beyoncé'],Formation,Lemonade,206.08,77,2016,6g0Orsxv6glTJCt4cHsRsQ
6245,['The Cars'],Shoo Be Doo - 2016 Remaster,The Elektra Years 1978 - 1987,98.386,9,2016,1o4vW1WOW5QRrNQZgRORux
6246,['Caamp'],Vagabond,Caamp,129.463,74,2016,3HAgxyWGeJtIVabS2mTREt
6247,['ABSRDST'],BEASTAR,2016 Was 666 Years Ago,206.902,13,2016,0nyDtsvKDamjracZKXnMjA
6248,['Whiskey Myers'],Stone,Mud,335.622,72,2016,4rJesaufMl2xD0f2G8Xgnd
6249,['Bonnie Raitt'],Love Me Like a Man - 2008 Remaster,Playlist: The Best of the Warner Bros. Years (2016 Remaster),192.4,15,2016,14ZspjP9JjFeHWfSVhKQu7
6250,['Glass Animals'],Take A Slice,How To Be A Human Being,229.717,76,2016,37adYGaYaAWTGhBaOzX4Fh
6251,['LADYBABY'],SCHOOL OF HARD KNOCKS,ONE YEAR BEST ~2015-2016~,243.2,19,2016,6ErxyCAF6cGEfqcM6IV5Dx
6252,"['PLVTINUM', 'Tarro']",Champagne & Sunshine,Champagne & Sunshine,196.363,79,2016,77U6kcldLRFl9vCfaw11Sr
