,artists,track,album,time (s),popularity,year,id
71,['The Wonder Years'],Buzz Aldrin: The Poster Boy for Second Place,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,172.21,21,2010,00yiJdcKCxtXLPvCSvCnHG
72,"['Zac Brown Band', 'Jimmy Buffett']",Knee Deep (feat. Jimmy Buffett),You Get What You Give,203.173,76,2010,60IGhnH20N82dNxKnc8jDd
73,['Year 200X'],Mega Man 2 (title),We Are Error,97.48,21,2010,4Y2mJptbsUs60BACcmqTZc
74,['bôa'],Duvet,Twilight,203.6,80,2010,42qNWdLKCI41S4uzfamhFM
75,"['Sting', 'Royal Philharmonic Concert Orchestra', 'Steven Mercurio']","Russians - Live In Berlin, 2010",25 Years,291.266,33,2010,7cuc9XTpCUVT5FcwywVrYb
76,"['Don Omar', 'Lucenzo']",Danza Kuduro,Meet The Orphans,198.773,80,2010,2a1o6ZejUi8U3wzzOtCOYw
77,['The Kiboomers'],The Months of the Year - 2014 Version,The Best Preschool Learning Songs,89.655,33,2010,58lQgf1Y5gRJRr6S0Nwp50
78,['Rihanna'],Only Girl (In The World),Loud (Japan Version),235.493,81,2010,2ENexcMEMsYk0rVJigVD3i
79,['The Wonder Years'],I Ain’t Saying He A Gold Digga (Sike!),Sleeping on Trash: A Collection of Songs Recorded 2005-2010,203.606,21,2010,2hYarNjMU7pZVY9QsIJIJ3
80,"['B.o.B', 'Hayley Williams']",Airplanes (feat. Hayley Williams of Paramore),B.o.B Presents: The Adventures of Bobby Ray,180.48,80,2010,6lV2MSQmRIkycDScNtrBXO
81,['Year 200X'],Contra (Jungle - Base - Waterfall - Snowfield - Alien's Lair),We Are Error,423.64,19,2010,3aYtxPSUPDjGJ527Xd8ACE
82,['Katy Perry'],Teenage Dream,Teenage Dream,227.741,75,2010,5jzKL4BDMClWqRguW5qZvh
83,['The Wonder Years'],Through Two Hearts,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,306.93,21,2010,77LeY1lrcioxlorvJBZ3fK
84,"['Far East Movement', 'The Cataracs', 'DEV']",Like A G6,Free Wired,216.893,74,2010,4DvhkX2ic4zWkQeWMwQ2qf
85,['Labi Siffre'],Another Year - 2006 Remaster,Remember My Song,254.426,33,2010,0mrui4YU819ofTR3q3tSWi
86,['Taio Cruz'],Dynamite,The Rokstarr Hits Collection,202.613,85,2010,2CEgGE6aESpnmtfiZwYlbV
87,['Orchestra Baobab'],Ndeleng Ndeleng,Afriques indépendantes: 50 Years of Musical Independence (1960 - 2010),444.146,33,2010,2gxOCWZURN8xX31qT4IpLX
88,"['B.o.B', 'Bruno Mars']",Nothin' on You (feat. Bruno Mars),B.o.B Presents: The Adventures of Bobby Ray,268.32,79,2010,59dLtGBS26x7kc0rHbaPrq
89,['Tori Amos'],Pretty Good Year - 2015 Remaster,Under the Pink (Deluxe Edition),205.64,27,2010,70euagGKfDWkSQCoZtHFdh
90,['Lady A'],Need You Now,Need You Now,277.573,75,2010,11EX5yhxr9Ihl3IN1asrfK
91,"['First State', 'Sarah Howells', 'Dash Berlin']",Reverie - Dash Berlin Remix,Crossroads Yearmix 2010,537.313,25,2010,3PJVcE25SNDd1uaPMGT6QP
92,['Two Door Cinema Club'],What You Know,Tourist History,191.706,75,2010,3UjtIALeg72qmJiKPWBvM3
93,['Riff Raff'],Rookie of the Year 2013,DOLCE & GABBANA,121.5,22,2010,4KoDsg2EbYPgqpXSrKqB7F
94,['P!nk'],Raise Your Glass,Raise Your Glass,202.96,81,2010,1gv4xPanImH17bKZ9rOveR
95,['The Wonder Years'],I Fell in Love with a Ninja Master,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,195.403,20,2010,71bn3JpEPpRO0XLGDE2k5m
96,['The Band Perry'],If I Die Young,The Band Perry,222.773,74,2010,4u26EevCNXMhlvE1xFBJwX
97,['Eden Burns'],The Year 2000,Big Beat Manifesto Vol. IV,433.846,21,2010,6VFja7sL2Xd5wjbK9Sn5Xs
98,['Black Eyed Peas'],Just Can’t Get Enough,The Beginning,219.426,81,2010,3JA9Jsuxr4xgHXEawAdCp4
99,['Pink Floyd'],Matilda Mother (2010 Mix) [2016 Remastered Version],"The Early Years, 1967-1972, Cre/ation",239.413,23,2010,4F8rhaZsjJtlnS2tJVtmfc
100,['Bruno Mars'],Count on Me,Doo-Wops & Hooligans,197.469,78,2010,7l1qvxWjxcKpB9PCtBuTbU
101,['Eagles'],Funky New Year - 2013 Remaster,Please Come Home for Christmas / Funky New Year (2013 Remaster),241.226,27,2010,7tJS1cjSD1P8bodNGblYiK
102,['Prince Royce'],Corazon Sin Cara,Prince Royce,211.453,77,2010,0u4N6w5lBw5xMrzJitRWUo
103,['The Wonder Years'],Cowboy Killers,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,158.16,19,2010,1ORcj4bAQ2Lu5hSAfG6UKb
104,"['Kanye West', 'JAY-Z', 'Rick Ross', 'Nicki Minaj', 'Bon Iver']",Monster,My Beautiful Dark Twisted Fantasy,378.893,77,2010,1ZHYJ2Wwgxes4m8Ba88PeK
